,Stats_SeasonEnd,Age_seasonEnd,Games,GamesStarted,MinPlayed,PER,TS%,OffRb%,Drebound%,TotalRbnd%,Assist%,Steal%,Block%,Turnover%,Usg%,OffWinShares,Dwinshares,WinShares,3PtMade,3PtAttempt,3Pt%,2PMade,2PAttempt,2Pt%,FTMade,FTAttempt,FT%,Offrb,Drebounds,TotalRbnds,Assists,Steals,Blocks,Turnover,PersonalFouls,Pts,Salary,next_season_salary,next_season_winshares,next_season_off_winshares,next_season_def_winshares,Player_first_year,Years_Playing,Position_Mapped,Season_Salary_Cap,Salary_as_percent_of_cap,next_season_salary_as_percent_of_cap
Stats_SeasonEnd,1.0,-0.06085419184418892,-0.05590526935566189,-0.03917499499583847,-0.05460542846543798,-0.003960444777025005,0.0348662668982209,-0.10502636609367932,0.07107367588130384,-0.006239836899354094,-0.02299966837551905,-0.07237199744318071,0.03409577118042724,-0.07589643272423206,-0.038942488793064424,-0.02893556513877727,-0.04702084054402163,-0.03914219612234494,0.1478522499965058,0.15100909040470234,0.10823417816475378,-0.10551963193451994,-0.11393420652980778,0.03555152741769303,-0.07894667327568276,-0.08764806599430498,0.003155325771338564,-0.12500816596947692,-0.008624465690211074,-0.046048066871542274,-0.05606548961593316,-0.0896934029419143,-0.05156800523185146,-0.09380494873158518,-0.12073117265365078,-0.04680933296560037,0.2831585199181393,0.28219982527219645,-0.04236160760264599,-0.03253297840364652,-0.048894800378531084,0.8507870703074751,0.0478154965550261,0.0271218004409476,0.9657221632960084,-0.0804670133133124,-0.08079253698689165
Age_seasonEnd,-0.06085419184418892,1.0,0.0023260999459048686,0.023193661815205113,0.018004743412938923,-0.0284286802848883,0.01346957514081684,-0.07051601299962958,0.007575983706582263,-0.027849397249459947,0.04037629106725317,-0.042446207568712896,-0.06305102599707964,0.003906778303711374,-0.1644604926684718,0.047329297597426524,0.05586511772765454,0.0555627959485449,0.03682968778065424,0.026652394607343415,0.029586428744684316,-0.034623167374967595,-0.03435880048409037,-0.026372824254942154,-0.03328713865679703,-0.04810776737666622,0.068178926290929,-0.039139595547615,0.01978008964061134,0.001547526944722076,0.03703405543444403,-0.004419364720932233,-0.04188555186773669,-0.03633255203812078,-0.010225818778103538,-0.02020925542999897,0.18836000045763637,0.13585934839586558,-0.038571251056209656,-0.04178451220889117,-0.024156948255439296,-0.4685982766992779,0.789362674752421,-0.018641862768338197,-0.05945143072632135,0.19844025873167978,0.14572353295077634
Games,-0.05590526935566189,0.0023260999459048686,1.0,0.6390097521981193,0.8622929217381318,0.38945081731132464,0.368306184693706,-0.048287292155799744,0.044981730463698716,0.004059710408769441,0.14578571610010252,0.025173228731419414,0.014010730770279072,-0.14532883056097776,0.0813868313911481,0.5411577093939718,0.6913720586000318,0.6550100737875159,0.46011046172217146,0.4782919200307337,0.22994149680029116,0.7066673735742754,0.7158907452423175,0.30168374952923466,0.6285256205286065,0.6430416771412546,0.3671760167736012,0.6138850322193847,0.7135692610585648,0.7028123465527454,0.5700241632205464,0.720504832960411,0.471300632837323,0.7373480138555106,0.8658605210607146,0.7329760683242827,0.2645859356294585,0.26580266531347385,0.4239014510788028,0.3638878361521062,0.42516343346902574,-0.07535929233594822,0.05015932650241023,0.028669291182227122,-0.0501998782176183,0.3073283343510272,0.3085356222042944
GamesStarted,-0.03917499499583847,0.023193661815205113,0.6390097521981193,1.0,0.871538022620662,0.4253561401378205,0.2761154253199815,-0.03450132638198992,0.10316752636704637,0.04932570338041666,0.21967169681881168,0.03143183134384793,0.03410723915083655,-0.12440335958134946,0.2238024819042491,0.676252221448155,0.7320160559047909,0.7643427857638817,0.44786967961280805,0.46240174075138474,0.16095320170963295,0.8087412353335452,0.8098675772516922,0.22773534431579567,0.7345887872937337,0.7441654428520397,0.22970410030895708,0.6215063079366457,0.7705950313507726,0.7457445997483335,0.6522280539127142,0.7451261301606515,0.5121376627044685,0.8016093739903287,0.7453832291878028,0.8207115472254248,0.44760848200670583,0.46501002203648656,0.561574075889199,0.4999365382131589,0.5328367974542499,-0.08507105018826559,0.09647363805615324,0.02440902808553701,-0.03552514723247679,0.49999391192309256,0.5173136239729151
MinPlayed,-0.05460542846543798,0.018004743412938923,0.8622929217381318,0.871538022620662,1.0,0.4876496712521404,0.35512333081627184,-0.0911439462450687,0.047310466146711194,-0.014979232096264582,0.2593902620447418,0.05146190546882549,-0.018645716388768805,-0.17081772269586423,0.24687773434310978,0.7402942634260964,0.8035788887316129,0.837657727722805,0.5733589358551711,0.5941711489544963,0.25895583356633717,0.8904671405776955,0.8988965578950056,0.27516474188779255,0.8275584242245868,0.8336538352819769,0.34185233017495903,0.6667695191340807,0.8344098356177978,0.8055197588336919,0.736572528740942,0.8605639685050153,0.5206537036783171,0.9038373641917588,0.8778542552253064,0.9298078211777001,0.4288860236498722,0.45433236704309954,0.608446241674514,0.5476313524115645,0.56737139579082,-0.09738591833035144,0.09419025101871815,0.04177655814510685,-0.04948082538436028,0.4924659720535891,0.5167573002546134
PER,-0.003960444777025005,-0.0284286802848883,0.38945081731132464,0.4253561401378205,0.4876496712521404,1.0,0.6998079989156643,0.2003859643842699,0.19983450300200623,0.23668269312819107,0.2685960353203465,0.17499386345020107,0.12439424916212385,-0.31402983185792854,0.3598237187255421,0.571829964129191,0.46513739741203236,0.5827419533882348,0.26043591194213006,0.2628914678632787,0.17459498580918498,0.5520687344032429,0.5341838955534502,0.5800490475012173,0.5474504618617323,0.5505090897457123,0.36245613190902176,0.40749667149192687,0.48231124677499754,0.4726655016190842,0.40338488973262077,0.45260168104643755,0.3478761162026591,0.49643640219963586,0.4122046711571115,0.5581189104596107,0.3540974671209069,0.4067975241376787,0.5080392103309664,0.4825262695505636,0.4314127748105461,-0.020129161849889506,0.031666309505423866,-0.05162434343132053,-0.003914081556417504,0.3846497958325656,0.43292257211620394
TS%,0.0348662668982209,0.01346957514081684,0.368306184693706,0.2761154253199815,0.35512333081627184,0.6998079989156643,1.0,0.014989291305623442,0.07479555010293482,0.05358284311112405,0.06952423579080597,0.012465934950374543,0.025094753655306785,-0.09658380500734784,0.11407931736559304,0.39790870490492886,0.2984625676748603,0.3952806225651396,0.24084413565879903,0.2256859791022662,0.23174399038925017,0.31468582473642154,0.2875350164766336,0.8170612548785431,0.3215929704409222,0.3205485161362385,0.43919136016115956,0.2655128365502076,0.3171323631157511,0.31001494281683273,0.22061871652308207,0.27982833793529704,0.2159534444353296,0.30320054900807003,0.3456296868011932,0.345569967049571,0.1889215752187524,0.21067463458059177,0.3043939241152847,0.2988122150338177,0.2422276696507133,0.00787997683118379,0.04307235791713704,0.012933756738433336,0.03938711364069041,0.18804006241437848,0.20758469874304317
OffRb%,-0.10502636609367932,-0.07051601299962958,-0.048287292155799744,-0.03450132638198992,-0.0911439462450687,0.2003859643842699,0.014989291305623442,1.0,0.48870923207538663,0.8183961477451726,-0.4281659598068636,-0.14682549442528367,0.34449578187247537,0.009753081778409778,-0.01611013418144309,-0.029792644602672495,0.07363948391756622,0.009661443545249667,-0.36038830403875505,-0.36983409091409297,-0.42940171708600705,0.010507182871364085,-0.014357686185508093,0.11974488223638469,-0.04414130768894408,0.004306593851625248,-0.2452653782892061,0.3869789535829882,0.16081325293315413,0.23779296887452922,-0.2722607281538215,-0.15660031421378245,0.2624349253096082,-0.09948874404316863,0.07852532596298471,-0.10162894042093419,-0.030710029982120583,-0.015685865940896403,0.022954154905406,-0.03177002447601879,0.10938115232265178,-0.04652642387720169,-0.08642779038148025,-0.17793698713968462,-0.10395386620735805,0.01675341345637559,0.03597738030129864
Drebound%,0.07107367588130384,0.007575983706582263,0.044981730463698716,0.10316752636704637,0.047310466146711194,0.19983450300200623,0.07479555010293482,0.48870923207538663,1.0,0.8947287551173588,-0.3717695416429809,-0.1743412269117193,0.4041694012316355,0.026507025087126917,-0.05027758420112257,0.059239831062137226,0.26243624485663136,0.1484134372259069,-0.23883173673426397,-0.24478100490373877,-0.32683094121446854,0.13207540372292978,0.10533518594605291,0.1488074768127449,0.07400324668189837,0.12209668974046699,-0.13552388594639764,0.43497062608737236,0.4123841126940029,0.43177919477081966,-0.18351898386502963,-0.06077889595766774,0.39339325529912744,0.02824926886385061,0.18717035572014662,0.03831765024363363,0.17743539540498016,0.1881845325489928,0.1405580728074573,0.05067987151568498,0.25763432991808427,0.044247639912083796,0.03423009748266446,-0.1859634116167821,0.07261034283017571,0.17252023501820374,0.18435550042277588
TotalRbnd%,-0.006239836899354094,-0.027849397249459947,0.004059710408769441,0.04932570338041666,-0.014979232096264582,0.23668269312819107,0.05358284311112405,0.8183961477451726,0.8947287551173588,1.0,-0.45234921006541773,-0.18802109514875445,0.42961403163979905,0.019531484405382094,-0.04097320044742012,0.026594853914543252,0.20918445354368376,0.10407926778924369,-0.33146685632461365,-0.3403296424208403,-0.4231679380361075,0.09037826797751182,0.06021027929644874,0.15295663587045363,0.0267053715006632,0.08142503019226846,-0.2129638830399094,0.46954365016129374,0.34548921395099497,0.3953134978556147,-0.25220629776174,-0.11722401284183401,0.3839072618728166,-0.031025892128034294,0.15807441334423508,-0.02514881142615566,0.1002250608567531,0.11564900882949532,0.10436703838881813,0.019871278209794306,0.22116455941892085,0.004590991148662893,-0.019115185407425492,-0.20730431623097068,-0.004762958554770893,0.12062201844616434,0.13793734109790637
Assist%,-0.02299966837551905,0.04037629106725317,0.14578571610010252,0.21967169681881168,0.2593902620447418,0.2685960353203465,0.06952423579080597,-0.4281659598068636,-0.3717695416429809,-0.45234921006541773,1.0,0.28072824616454806,-0.32547617845231935,0.14978088402181788,0.2735377630330739,0.2678379398153813,0.12905107896576778,0.23639886048730263,0.3020066040625878,0.32678984381217974,0.32957323171035774,0.21928234812086533,0.2409890881463373,-0.00023875847041549713,0.27093330436418295,0.23786770694255754,0.23314401191592074,-0.14974067044916117,0.02502206995037802,-0.030051818823785877,0.6875730586559199,0.3981184498914008,-0.15481168941694806,0.4192715428804426,0.07106587685292283,0.2880202766727551,0.15684499692781564,0.15899011888889766,0.21454024249768586,0.24941308944830184,0.10596857259785625,-0.04976962419389724,0.05630587611654586,-0.1020804211745754,-0.024489400839409314,0.16258491874742165,0.1633169405817995
Steal%,-0.07237199744318071,-0.042446207568712896,0.025173228731419414,0.03143183134384793,0.05146190546882549,0.17499386345020107,0.012465934950374543,-0.14682549442528367,-0.1743412269117193,-0.18802109514875445,0.28072824616454806,1.0,-0.150934595951947,0.08180423223534751,0.08592051357919249,0.04632019662553313,0.09213565675813412,0.06954317814106499,0.08024909346045317,0.09509770860537028,0.11071492851997077,0.027951196668807063,0.035918429170140556,-0.004714693410212854,0.05292305718798623,0.04595658393884243,0.05756173399331227,-0.06902085900480454,-0.03543474737424577,-0.04720769886511964,0.1890829220722139,0.31028520448735447,-0.0828008731956162,0.09876855351970391,0.006574659364252518,0.05225816479761641,-0.025676665733314043,-0.021392665152524252,0.08409352713615406,0.06950464596339562,0.08965575464879845,-0.03932352873769962,-0.04575114884067845,0.03274194339935451,-0.07512775482700206,0.0004859741983924101,0.00859434327024457
Block%,0.03409577118042724,-0.06305102599707964,0.014010730770279072,0.03410723915083655,-0.018645716388768805,0.12439424916212385,0.025094753655306785,0.34449578187247537,0.4041694012316355,0.42961403163979905,-0.32547617845231935,-0.150934595951947,1.0,0.042030727818295095,-0.09417653526283028,-0.012519251899179481,0.1636255001101272,0.05870748722697698,-0.2291860577917405,-0.2361771526229167,-0.30991027100232954,0.045437679677800207,0.022754777755910775,0.10760996673881301,-0.00046948605562922906,0.04246875389586356,-0.17854872872403452,0.2723759191201625,0.1892542832683255,0.22139092862729512,-0.19100243321209281,-0.09469233993150522,0.5156272226072204,-0.03397290339704065,0.12271771920308253,-0.03287752355590559,0.07905495937228406,0.08639966230084317,0.059965162328827856,-0.011751847298228047,0.1656772306685633,0.053151888673041464,-0.04426036244913132,-0.08352158624748524,0.03462305386777983,0.09465432456636064,0.09997152559537639
Turnover%,-0.07589643272423206,0.003906778303711374,-0.14532883056097776,-0.12440335958134946,-0.17081772269586423,-0.31402983185792854,-0.09658380500734784,0.009753081778409778,0.026507025087126917,0.019531484405382094,0.14978088402181788,0.08180423223534751,0.042030727818295095,1.0,-0.11231038441849012,-0.1983687186082708,-0.11165048614103801,-0.1816824529064919,-0.18941812573900668,-0.18938343372972033,-0.14760015481628605,-0.18194038492141734,-0.18527521866039653,-0.05437288006798555,-0.1453171843046225,-0.13614720280603235,-0.16018557978523834,-0.09626834954396264,-0.13398610619085255,-0.12589831349229214,-0.004164789569206149,-0.10430474842656222,-0.06943108394196972,-0.028870927369403207,-0.1089370885723038,-0.20445703036470647,-0.10830712673441427,-0.1247039902610001,-0.14221853416787772,-0.14969280069319496,-0.09523847433701461,-0.04931336373167811,-0.03263108193042587,-0.12698352337845367,-0.08219098453197371,-0.09145831651633209,-0.104988772670939
Usg%,-0.038942488793064424,-0.1644604926684718,0.0813868313911481,0.2238024819042491,0.24687773434310978,0.3598237187255421,0.11407931736559304,-0.01611013418144309,-0.05027758420112257,-0.04097320044742012,0.2735377630330739,0.08592051357919249,-0.09417653526283028,-0.11231038441849012,1.0,0.2875761660883058,0.18288187347582097,0.27230950319169195,0.2378467225836008,0.2577137536845678,0.18308422074716613,0.4298868739423658,0.4435444711843482,0.05167592535498974,0.45523422880815917,0.4381012441087981,0.20483350580650975,0.0837259208913988,0.18780317177222,0.1601122504400445,0.2804084196872259,0.2434854537958726,0.06601478613708082,0.39455234936042877,0.13083449620323043,0.45066684201952417,0.2696988335794295,0.3100608268838123,0.286339448751934,0.29604675141946424,0.2028089059341242,0.008701409064484984,-0.08137582228597638,0.03654768765396949,-0.03856897732058628,0.2967136163891968,0.3333826889789521
OffWinShares,-0.02893556513877727,0.047329297597426524,0.5411577093939718,0.676252221448155,0.7402942634260964,0.571829964129191,0.39790870490492886,-0.029792644602672495,0.059239831062137226,0.026594853914543252,0.2678379398153813,0.04632019662553313,-0.012519251899179481,-0.1983687186082708,0.2875761660883058,1.0,0.641731929832583,0.9489114246546069,0.5117034571973359,0.49940212665135053,0.215306529149593,0.7564904518556378,0.7217676619095769,0.2921199741939685,0.8169600617772765,0.7945501642485856,0.2763545799167799,0.5035990858909456,0.6449199187869887,0.6188378574815683,0.6401890539461155,0.6598446213315509,0.3818642223999569,0.6748827087932401,0.5663627428452015,0.8221158707407519,0.4327030625568999,0.4836474408905212,0.7023983799938583,0.7228134799984564,0.5032967592661722,-0.08109199241314625,0.10595850034781039,-0.005985148649665629,-0.026151425020961523,0.479703056145923,0.5272688571490233
Dwinshares,-0.04702084054402163,0.05586511772765454,0.6913720586000318,0.7320160559047909,0.8035788887316129,0.46513739741203236,0.2984625676748603,0.07363948391756622,0.26243624485663136,0.20918445354368376,0.12905107896576778,0.09213565675813412,0.1636255001101272,-0.11165048614103801,0.18288187347582097,0.641731929832583,1.0,0.8506026166107116,0.3181720409609587,0.33372247405163824,0.0985748336680915,0.7642595053401985,0.7509657277132369,0.26691219640421143,0.6945730262425887,0.7289460606208316,0.19984667186906346,0.7175509332639576,0.8620442908600635,0.841362850371877,0.5306153719164675,0.7375365065431889,0.6777639155300069,0.7322956538708881,0.7667605212012446,0.7468847184583357,0.4297610768023293,0.4605482694231705,0.6235546230186823,0.48745381415962896,0.7048831245718759,-0.1011050002968147,0.11388709278367953,-0.03184827834181141,-0.0424637358374276,0.5038927848334849,0.5306436267939393
WinShares,-0.03914219612234494,0.0555627959485449,0.6550100737875159,0.7643427857638817,0.837657727722805,0.5827419533882348,0.3952806225651396,0.009661443545249667,0.1484134372259069,0.10407926778924369,0.23639886048730263,0.06954317814106499,0.05870748722697698,-0.1816824529064919,0.27230950319169195,0.9489114246546069,0.8506026166107116,1.0,0.48170107569930626,0.47963962234704766,0.18808562999113818,0.8325428332627604,0.8032911925471011,0.30981327175894036,0.8452881037228829,0.8440269648663749,0.271198447261371,0.6399119915775746,0.7963071884040067,0.7698828599693157,0.6568345534175435,0.7552695270819425,0.5403244713656145,0.7635077842930943,0.7033008698237162,0.8704336265068809,0.47312218416164775,0.5230054857213577,0.7409819170223385,0.6992611653653954,0.6367975440656982,-0.09718701693517386,0.11955748464208676,-0.017221851761747217,-0.03531905152784169,0.5358274096997374,0.5819417928641051
3PtMade,0.1478522499965058,0.03682968778065424,0.46011046172217146,0.44786967961280805,0.5733589358551711,0.26043591194213006,0.24084413565879903,-0.36038830403875505,-0.23883173673426397,-0.33146685632461365,0.3020066040625878,0.08024909346045317,-0.2291860577917405,-0.18941812573900668,0.2378467225836008,0.5117034571973359,0.3181720409609587,0.48170107569930626,1.0,0.9908859986928923,0.5026061554101824,0.33953165840623534,0.3640706371304303,0.07514768515695287,0.4366339134935491,0.38525558041747615,0.3157876475732612,-0.012579687270260945,0.270191766627299,0.18786598277546507,0.547799335749778,0.5515015264088138,-0.01766556786462798,0.49434927289381964,0.34457172108173145,0.5955922278628546,0.2903612223825319,0.28310134605674786,0.3205345094585004,0.3550917488558335,0.18702888078965038,0.08260835897314653,0.0891479602928035,0.1727123986981272,0.1499557976453975,0.22232932288265622,0.21670091635969024
3PtAttempt,0.15100909040470234,0.026652394607343415,0.4782919200307337,0.46240174075138474,0.5941711489544963,0.2628914678632787,0.2256859791022662,-0.36983409091409297,-0.24478100490373877,-0.3403296424208403,0.32678984381217974,0.09509770860537028,-0.2361771526229167,-0.18938343372972033,0.2577137536845678,0.49940212665135053,0.33372247405163824,0.47963962234704766,0.9908859986928923,1.0,0.4963599523472554,0.36445642994916544,0.39142315618879314,0.07673099830405691,0.46107744846458665,0.41116812997094015,0.3227420268253797,-0.0013858872212865571,0.28486606544420423,0.2018622094461979,0.5771944488055599,0.583160397678518,-0.011803013524471526,0.5257489300166489,0.36033422620265726,0.6150130534746606,0.3009948919070292,0.29236125141145836,0.3248380396789095,0.3548463524539307,0.198035218345144,0.08754296954721272,0.08502451197022359,0.17646512277128032,0.1528879825722747,0.23393584501088677,0.2270417953464561
3Pt%,0.10823417816475378,0.029586428744684316,0.22994149680029116,0.16095320170963295,0.25895583356633717,0.17459498580918498,0.23174399038925017,-0.42940171708600705,-0.32683094121446854,-0.4231679380361075,0.32957323171035774,0.11071492851997077,-0.30991027100232954,-0.14760015481628605,0.18308422074716613,0.215306529149593,0.0985748336680915,0.18808562999113818,0.5026061554101824,0.4963599523472554,1.0,0.13887966544186123,0.15887678839355676,-0.005370691955568325,0.17892956833078974,0.13856566503162,0.3117060701200644,-0.13232650476812371,0.04869745350589763,-0.007676680368534769,0.3123751001600742,0.28348441775676547,-0.12912070043728846,0.2263384029633156,0.1036735371010906,0.2693174061233769,0.11260471792135164,0.11298088552029273,0.13199551146924413,0.1633957159379867,0.04806455405672824,0.06535147342737539,0.05598716709504183,0.182321351847108,0.10830070224516242,0.07335432873585743,0.07116591234975879
2PMade,-0.10551963193451994,-0.034623167374967595,0.7066673735742754,0.8087412353335452,0.8904671405776955,0.5520687344032429,0.31468582473642154,0.010507182871364085,0.13207540372292978,0.09037826797751182,0.21928234812086533,0.027951196668807063,0.045437679677800207,-0.18194038492141734,0.4298868739423658,0.7564904518556378,0.7642595053401985,0.8325428332627604,0.33953165840623534,0.36445642994916544,0.13887966544186123,1.0,0.9930688000142663,0.2812539034958993,0.8914593643165022,0.9054572803125585,0.2731400262375091,0.7047409942818177,0.8236287749105422,0.8099900626653327,0.6405320893771024,0.7557202815845407,0.5647959643752476,0.884302417726647,0.7869147005640961,0.952357501017371,0.4569846163543834,0.49380476453099614,0.634900251224532,0.5808159708503579,0.576337770377583,-0.12220958717017544,0.05660456910952964,-0.0038156901382153468,-0.09983841722988035,0.5553220711000163,0.5932169903573646
2PAttempt,-0.11393420652980778,-0.03435880048409037,0.7158907452423175,0.8098675772516922,0.8988965578950056,0.5341838955534502,0.2875350164766336,-0.014357686185508093,0.10533518594605291,0.06021027929644874,0.2409890881463373,0.035918429170140556,0.022754777755910775,-0.18527521866039653,0.4435444711843482,0.7217676619095769,0.7509657277132369,0.8032911925471011,0.3640706371304303,0.39142315618879314,0.15887678839355676,0.9930688000142663,1.0,0.24378627690907545,0.893377731843876,0.9019423766602641,0.28912156437921727,0.6806277662185332,0.806896981155638,0.790406645926479,0.6600819651183175,0.7692946324945003,0.537576457348134,0.8958172392701022,0.7877332079136271,0.9549314125212034,0.4510704425836911,0.484570326685423,0.6142849637790584,0.5598643144696338,0.5610968835557116,-0.12928851038155975,0.056049995898137854,0.003823008940774013,-0.1085990246529972,0.5511390378695735,0.5841799079224255
